index,open,high,low,close,tick_volume,spread,real_volume,i,local_min,local_max,roll_vol,roll_vol_mean,roll_vol_std,last_min_price,rol_min,s_rol_min,s_rol_max,stoch,candle_side,v_pattern,v_pattern_near,ppvi,rolling_ppvi,ret_n
2018-08-21 16:35:00,75540.0,75560.0,75455.0,75510.0,3088,5,9352,261150,1,0,15601.0,17291.64,2663.36254553689,75455.0,75420.0,75420.0,75730.0,0.2903225806451613,-1.0,0,1.0,True,1.0,0.0
2018-08-23 10:35:00,77340.0,77340.0,77175.0,77210.0,4502,5,16154,261858,0,0,35204.0,17961.49,2337.509938109364,77080.0,77080.0,77080.0,77645.0,0.23008849557522124,-1.0,0,1.0,True,1.0,125.0
2018-08-23 11:44:00,76925.0,76945.0,76865.0,76865.0,1342,5,4624,261927,0,0,16266.0,30809.71,6574.247543660763,76805.0,76805.0,76805.0,77135.0,0.18181818181818182,-1.0,0,1.0,True,1.0,-155.0
2018-08-24 11:37:00,76750.0,76765.0,76720.0,76745.0,994,5,3181,262455,0,0,12674.0,18904.63,3175.9073798186496,76630.0,76630.0,76630.0,77065.0,0.26436781609195403,-1.0,0,1.0,True,1.0,-80.0
2018-09-03 09:19:00,76495.0,76495.0,76435.0,76465.0,808,5,3065,265521,0,0,8001.0,10524.07,2228.2902096316384,76330.0,76330.0,76330.0,77370.0,0.12980769230769232,-1.0,0,1.0,True,1.0,-225.0
2018-09-05 14:45:00,75500.0,75505.0,75415.0,75470.0,2203,5,7744,266917,1,0,14914.0,12921.59,1247.7635731175367,75415.0,75415.0,75415.0,75800.0,0.14285714285714285,-1.0,0,1.0,True,1.0,-5.0
2018-09-06 12:01:00,75640.0,75645.0,75555.0,75570.0,2827,5,8915,267288,0,0,16473.0,20400.43,3660.8548306821835,75435.0,75435.0,75435.0,76015.0,0.23275862068965517,-1.0,0,1.0,True,1.0,-45.0
2018-09-10 10:31:00,77380.0,77465.0,77335.0,77355.0,3250,5,11656,267731,0,0,27015.0,16000.79,2470.2485970626212,77185.0,77185.0,77185.0,77800.0,0.2764227642276423,-1.0,0,1.0,True,1.0,-20.0
2018-09-13 11:35:00,74985.0,75020.0,74960.0,74975.0,1508,5,4230,269391,0,1,10488.0,21789.4,4157.365856126678,74855.0,74855.0,74855.0,75440.0,0.20512820512820512,-1.0,0,1.0,True,1.0,-50.0
2018-09-24 11:30:00,79145.0,79175.0,79100.0,79130.0,1938,5,5921,273123,0,0,15324.0,22243.43,3903.675209136779,79000.0,78965.0,78965.0,79550.0,0.28205128205128205,-1.0,0,1.0,True,1.0,30.0
2018-09-24 13:09:00,78645.0,78650.0,78565.0,78570.0,1300,5,3938,273222,0,0,9694.0,18819.5,1258.2806705916637,78470.0,78470.0,78470.0,78845.0,0.26666666666666666,-1.0,0,1.0,True,1.0,30.0
2018-09-28 09:10:00,79280.0,79280.0,79235.0,79255.0,889,5,2603,275121,0,0,13456.0,9505.96,683.6898968150165,79015.0,79015.0,79015.0,80110.0,0.2191780821917808,-1.0,0,1.0,True,1.0,25.0
2018-09-28 13:42:00,79475.0,79480.0,79435.0,79450.0,833,5,2163,275393,0,0,13446.0,12812.54,2276.041612595761,79380.0,79380.0,79380.0,79790.0,0.17073170731707318,-1.0,0,1.0,True,1.0,-5.0
2018-10-03 16:22:00,83135.0,83155.0,83100.0,83110.0,1192,5,3286,277154,0,0,11569.0,16872.29,1277.0964872742443,83030.0,83030.0,83030.0,83525.0,0.16161616161616163,-1.0,0,1.0,True,1.0,-130.0
2018-10-04 14:49:00,82125.0,82140.0,82055.0,82115.0,2320,5,9010,277593,1,0,17053.0,14893.39,2254.442730952036,82055.0,82015.0,82015.0,82350.0,0.29850746268656714,-1.0,0,1.0,True,1.0,25.0
2018-10-10 09:19:00,85055.0,85055.0,84895.0,84935.0,3825,5,10241,279398,0,0,27678.0,13317.85,1237.9112123007142,84655.0,84655.0,84655.0,85920.0,0.22134387351778656,-1.0,0,1.0,True,1.0,-5.0
2018-10-10 16:22:00,83995.0,83995.0,83945.0,83950.0,1675,5,4910,279821,0,0,13429.0,17003.95,1073.9063291696464,83860.0,83860.0,83860.0,84310.0,0.2,-1.0,0,1.0,True,1.0,-20.0
2018-10-11 15:10:00,83450.0,83460.0,83375.0,83405.0,2094,5,6881,280284,0,0,15832.0,15349.2,2672.058470793006,83310.0,83310.0,83310.0,83635.0,0.2923076923076923,-1.0,0,1.0,True,1.0,-50.0
